Mês,Saldo Anterior (R$),Aporte (R$),Rendimento (R$),Novo Saldo (R$),% Rendimento no Mês
1,250000.00,5000.00,2910.39,257910.39,36.79
2,257910.39,5000.00,3002.48,265912.88,37.52
3,265912.88,5000.00,3095.64,274008.52,38.24
4,274008.52,5000.00,3189.89,282198.41,38.95
5,282198.41,5000.00,3285.23,290483.65,39.65
6,290483.65,5000.00,3381.69,298865.33,40.35

--- RESUMO FINAL ---
Tempo total de simulação,6m (6 meses)
Total do Bolso,280000.00
Total de Rendimento,18865.33
Porcentagem CDI,6.31%
